XSpeed,NormX,NormY,NormZ
3.17489004.-0.0383,0.9990,0.0251
3.14998031.-0.0383,0.9990,0.0251
3.12527013.-0.0383,0.9990,0.0251
3.10075760.-0.0383,0.9990,0.0251
3.07644129.-0.0383,0.9990,0.0251
3.05232000.-0.0383,0.9990,0.0251
3.02839136.-0.0383,0.9990,0.0251
3.00465465.-0.0383,0.9990,0.0251
2.98110771.-0.0383,0.9990,0.0251
2.95774913.-0.0383,0.9990,0.0251
2.93457747.-0.0383,0.9990,0.0251
2.91159129.-0.0383,0.9990,0.0251
2.88916826.0.0011,0.9999,0.0122
2.86650229.-0.0383,0.9990,0.0251
2.84406090.-0.0383,0.9990,0.0251
2.82179880.-0.0383,0.9990,0.0251
2.80009580.0.0011,0.9999,0.0122
2.77859735.0.0011,0.9999,0.0122
2.75727081.0.0011,0.9999,0.0122
2.73611498.0.0011,0.9999,0.0122
2.71512866.0.0011,0.9999,0.0122
2.69430971.0.0011,0.9999,0.0122
2.67365789.0.0011,0.9999,0.0122
2.65317106.0.0011,0.9999,0.0122
2.63284779.0.0011,0.9999,0.0122
2.61268735.0.0011,0.9999,0.0122
2.59268832.0.0011,0.9999,0.0122
2.57284975.0.0011,0.9999,0.0122
2.55316949.0.0011,0.9999,0.0122
2.53364658.0.0011,0.9999,0.0122
2.51428032.0.0011,0.9999,0.0122
2.49506927.0.0011,0.9999,0.0122
2.47601151.0.0011,0.9999,0.0122
2.45534372.-0.0079,1.0000,-0.0027
2.43522692.-0.0079,1.0000,-0.0027
2.41527152.-0.0079,1.0000,-0.0027
2.39547610.-0.0079,1.0000,-0.0027
2.37582469.-0.0077,1.0000,-0.0030
2.35633135.-0.0077,1.0000,-0.0030
2.33699393.-0.0077,1.0000,-0.0030
2.31781125.-0.0077,1.0000,-0.0030
2.27990556.-0.0077,1.0000,-0.0030
2.26117587.-0.0075,1.0000,-0.0032
2.24259520.-0.0075,1.0000,-0.0032
2.22416353.-0.0075,1.0000,-0.0032
2.20587969.-0.0075,1.0000,-0.0032
2.18774199.-0.0075,1.0000,-0.0032
2.16974950.-0.0075,1.0000,-0.0032
2.15190077.-0.0075,1.0000,-0.0032
2.13419485.-0.0075,1.0000,-0.0032
2.11663103.-0.0075,1.0000,-0.0032
2.09920764.-0.0075,1.0000,-0.0032
2.08192396.-0.0075,1.0000,-0.0032
2.06477833.-0.0075,1.0000,-0.0032
2.04777002.-0.0075,1.0000,-0.0032
2.03089786.-0.0075,1.0000,-0.0032
2.01416087.-0.0075,1.0000,-0.0032
1.99755764.-0.0075,1.0000,-0.0032
1.98108745.-0.0075,1.0000,-0.0032
1.96474898.-0.0075,1.0000,-0.0032
1.94854128.-0.0075,1.0000,-0.0032
1.93246317.-0.0075,1.0000,-0.0032
1.91651392.-0.0075,1.0000,-0.0032
1.90069222.-0.0075,1.0000,-0.0032
1.88499701.-0.0075,1.0000,-0.0032
1.86907148.-0.0045,0.9999,-0.0093
1.85329819.-0.0045,0.9999,-0.0093
1.83765125.-0.0045,0.9999,-0.0093
1.82212973.-0.0045,0.9999,-0.0093
1.80673230.-0.0045,0.9999,-0.0093
1.79145801.-0.0045,0.9999,-0.0093
1.77630603.-0.0045,0.9999,-0.0093
1.76127529.-0.0045,0.9999,-0.0093
1.74636483.-0.0045,0.9999,-0.0093
1.73157358.-0.0045,0.9999,-0.0093
1.71690094.-0.0045,0.9999,-0.0093
1.70234549.-0.0045,0.9999,-0.0093
1.68790650.-0.0045,0.9999,-0.0093
1.67358303.-0.0045,0.9999,-0.0093
1.65937436.-0.0045,0.9999,-0.0093
1.64527941.-0.0045,0.9999,-0.0093
1.63129711.-0.0045,0.9999,-0.0093
1.61742675.-0.0045,0.9999,-0.0093
1.60366726.-0.0045,0.9999,-0.0093
1.44419193.-0.0045,0.9999,-0.0093
1.43189216.-0.0045,0.9999,-0.0093
1.41969073.-0.0045,0.9999,-0.0093
1.40758681.-0.0045,0.9999,-0.0093
1.39558005.-0.0045,0.9999,-0.0093
1.38366938.-0.0045,0.9999,-0.0093
